"personId","machineId","gender","age","attendanceTime","attentionTime","date"
304,1,"M",33,2,0,"2015-12-11 16:20:07"
305,1,"M",33,2,1,"2015-12-11 16:20:50"
306,1,"M",58,2,0,"2015-12-11 16:21:13"
307,1,"M",33,2,1,"2015-12-11 16:21:25"
308,1,"M",33,5,1,"2015-12-11 16:21:36"
309,1,"M",24,9,7,"2015-12-11 16:26:09"
310,1,"F",33,1,0,"2015-12-11 16:26:11"
311,1,"F",33,2,0,"2015-12-11 16:28:35"
312,1,"F",33,3,1,"2015-12-11 16:31:33"
313,1,"M",33,1,0,"2015-12-11 16:31:52"
314,1,"M",24,5,3,"2015-12-11 16:32:33"
315,1,"M",58,1,0,"2015-12-11 16:33:14"
316,1,"M",24,2,0,"2015-12-11 16:33:21"
317,1,"F",33,1,0,"2015-12-11 16:33:30"
318,1,"M",33,1,0,"2015-12-11 16:35:13"
319,1,"F",58,1,0,"2015-12-11 16:35:24"
320,1,"M",24,2,1,"2015-12-11 16:35:35"
321,1,"M",24,29,3,"2015-12-11 16:36:53"
322,1,"F",33,1,0,"2015-12-11 16:37:14"
323,1,"M",24,37,36,"2015-12-11 16:37:34"
324,1,"M",33,2,0,"2015-12-11 16:39:13"
325,1,"F",33,1,0,"2015-12-11 16:40:14"
326,1,"M",24,49,38,"2015-12-11 16:40:53"
327,1,"F",33,1,0,"2015-12-11 16:41:10"
328,1,"M",24,2,0,"2015-12-11 16:42:53"
329,1,"M",6,1,0,"2015-12-11 16:43:14"
330,1,"M",33,1,0,"2015-12-11 16:46:13"
331,1,"M",24,1,0,"2015-12-11 16:48:34"
332,1,"F",16,1,0,"2015-12-11 16:48:45"
333,1,"M",24,30,21,"2015-12-11 16:50:13"
334,1,"F",33,1,0,"2015-12-11 16:52:32"
335,1,"M",24,27,22,"2015-12-11 16:52:53"
336,1,"M",24,4,1,"2015-12-11 16:53:39"
337,1,"M",33,3,2,"2015-12-11 16:53:53"
338,1,"M",6,2,0,"2015-12-11 16:54:34"
339,1,"M",33,54,1,"2015-12-11 16:55:54"
340,1,"M",24,3,3,"2015-12-11 16:56:30"
341,1,"F",70,1,0,"2015-12-11 16:58:28"
342,1,"M",24,31,25,"2015-12-11 16:59:48"
343,1,"F",33,1,0,"2015-12-11 17:00:28"
344,1,"F",24,1,0,"2015-12-11 17:00:48"
345,1,"M",24,3,2,"2015-12-11 17:01:08"
346,1,"F",24,1,0,"2015-12-11 17:01:50"
347,1,"M",33,1,0,"2015-12-11 17:01:52"
348,1,"M",24,1,0,"2015-12-11 17:01:55"
349,1,"M",24,2,2,"2015-12-11 17:04:10"
350,1,"M",58,1,0,"2015-12-11 17:04:13"
351,1,"M",33,3,2,"2015-12-11 17:05:51"
352,1,"M",33,3,1,"2015-12-11 17:05:53"
353,1,"M",24,33,25,"2015-12-11 17:06:12"
354,1,"M",33,8,6,"2015-12-11 17:07:50"
355,1,"M",33,6,4,"2015-12-11 17:07:53"
356,1,"M",24,2,1,"2015-12-11 17:08:29"
357,1,"M",24,2,1,"2015-12-11 17:08:31"
358,1,"M",6,2,0,"2015-12-11 17:11:24"
359,1,"F",24,2,1,"2015-12-11 17:14:41"
360,1,"F",33,2,0,"2015-12-11 17:14:59"
361,1,"F",24,6,5,"2015-12-11 17:15:04"
362,1,"M",33,3,2,"2015-12-11 17:15:05"
363,1,"F",24,15,14,"2015-12-11 17:15:19"
364,1,"F",24,2,1,"2015-12-11 17:15:21"
365,1,"F",33,2,2,"2015-12-11 17:15:23"
366,1,"F",58,7,3,"2015-12-11 17:15:39"
367,1,"F",58,6,4,"2015-12-11 17:15:42"
368,1,"F",24,4,3,"2015-12-11 17:15:43"
369,1,"M",24,1,0,"2015-12-11 17:16:22"
370,1,"F",24,2,1,"2015-12-11 17:16:23"
371,1,"F",6,2,1,"2015-12-11 17:16:25"
372,1,"F",6,4,1,"2015-12-11 17:23:04"
373,1,"F",33,3,1,"2015-12-11 17:33:01"
374,1,"F",16,1,1,"2015-12-11 17:33:02"
375,1,"F",24,2,1,"2015-12-11 17:33:19"
376,1,"F",6,2,0,"2015-12-11 17:33:39"
377,1,"F",33,1,0,"2015-12-11 17:33:41"
378,1,"F",6,4,1,"2015-12-11 17:35:21"
379,1,"F",24,4,3,"2015-12-11 17:36:41"
380,1,"F",24,4,3,"2015-12-11 17:36:59"
381,1,"M",33,3,2,"2015-12-11 17:40:01"
382,1,"M",70,1,0,"2015-12-11 17:40:19"
383,1,"M",33,4,4,"2015-12-11 17:40:20"
384,1,"M",33,6,5,"2015-12-11 17:40:21"
385,1,"M",33,4,2,"2015-12-11 17:40:21"
386,1,"M",58,3,0,"2015-12-11 17:40:22"
387,1,"F",58,1,0,"2015-12-11 17:51:39"
